	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
92	Nawaf Boushal	sa KSA	DF	Al-Nassr	25	1999	32	20	1,871	20.8	0	6	6	0	0	0	3	1	0.00	0.29	0.29	0.00	0.29	Matches
93	Bilal Boutobba	fr FRA	MF,FW	Al-Najma	26	1998	28	25	2,055	22.8	3	1	4	2	1	1	3	0	0.13	0.04	0.18	0.09	0.13	Matches
94	Abdelmounaim Boutouil	ma MAR	DF	Al-Hazem	27	1998	13	10	866	9.6	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
95	Victor Braga	br BRA	GK	Al-Najma	33	1992	31	31	2,737	30.4	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
96	Mohammed Al-Breik	sa KSA	DF	Neom	32	1992	21	11	1,031	11.5	1	1	2	1	0	0	0	0	0.09	0.09	0.17	0.09	0.17	Matches
97	Josh Brownhill	eng ENG	MF,FW	Al-Shabab	29	1995	30	29	2,444	27.2	4	2	6	3	1	1	4	0	0.15	0.07	0.22	0.11	0.18	Matches
98	Marcelo Brozović	hr CRO	MF	Al-Nassr	32	1992	29	29	2,425	26.9	0	4	4	0	0	0	7	0	0.00	0.15	0.15	0.00	0.15	Matches
99	Mohammed Bu Muaykil		FW	Al-Fateh			1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
100	Mubarak Al Buainain	sa KSA	GK	Al-Nassr	19	2006	1	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	John Buckley	eng ENG	MF	Al Kholood Saudi Club	25	1999	31	31	2,695	29.9	2	4	6	2	0	0	6	0	0.07	0.13	0.20	0.07	0.20	Matches
102	Ali Al-Bulaihi	sa KSA	DF	Al-Shabab	35	1989	14	14	1,252	13.9	2	0	2	2	0	0	1	0	0.14	0.00	0.14	0.14	0.14	Matches
103	Ali Al-Bulaihi	sa KSA	DF	Al-Hilal	35	1989	3	1	89	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
104	Firas Al-Buraikan	sa KSA	FW,MF	Al-Ahli	25	2000	34	16	1,744	19.4	5	1	6	5	0	0	1	0	0.26	0.05	0.31	0.26	0.31	Matches
105	Heorhiy Bushchan	ua UKR	GK	Al-Shabab	31	1994	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
106	Marcin Bułka	pl POL	GK	Neom	25	1999	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
107	Francisco Calvo	cr CRC	DF,MF	Al-Ettifaq	33	1992	30	30	2,668	29.6	4	1	5	4	0	0	8	0	0.13	0.03	0.17	0.13	0.17	Matches
108	Haroune Camara	sa KSA	FW	Al-Nassr	27	1998	2	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
109	Haroune Camara	sa KSA	FW	Al-Shabab	27	1998	7	4	315	3.5	1	0	1	1	0	0	3	0	0.29	0.00	0.29	0.29	0.29	Matches
110	Mansour Camara	gn GUI	DF	Al Kholood Saudi Club	17	2007	10	5	571	6.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
111	João Cancelo	pt POR	DF	Al-Hilal	31	1994	2	2	173	1.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
112	Felippe Cardoso	br BRA	FW	Al-Najma	26	1998	14	14	1,227	13.6	4	4	8	4	0	0	4	1	0.29	0.29	0.59	0.29	0.59	Matches
113	Carlos	br BRA	FW,MF	Al-Shabab	29	1995	16	12	1,090	12.1	4	0	4	4	0	0	2	0	0.33	0.00	0.33	0.33	0.33	Matches
114	Yannick Carrasco	be BEL	MF,FW	Al-Shabab	31	1993	29	28	2,506	27.8	18	7	25	10	8	9	4	0	0.65	0.25	0.90	0.36	0.61	Matches
115	Gabriel Carvalho	br BRA	FW	Al-Qadsiah	17	2007	10	1	271	3.0	1	1	2	1	0	0	1	0	0.33	0.33	0.66	0.33	0.66	Matches
116	Koen Casteels	be BEL	GK	Al-Qadsiah	33	1992	32	32	2,854	31.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
117	Kaio César	br BRA	FW	Al-Hilal	21	2004	10	1	230	2.6	0	2	2	0	0	0	2	0	0.00	0.78	0.78	0.00	0.78	Matches
118	Kingsley Coman	fr FRA	MF	Al-Nassr	29	1996	30	30	2,549	28.3	10	11	21	9	1	1	3	0	0.35	0.39	0.74	0.32	0.71	Matches
119	João Costa	br BRA	MF,DF	Al-Ettifaq	20	2005	18	15	1,261	14.0	0	3	3	0	0	0	4	0	0.00	0.21	0.21	0.00	0.21	Matches
120	Juan Cozzani	ar ARG	GK	Al Kholood Saudi Club	26	1998	32	32	2,880	32.0	0	1	1	0	0	0	3	0	0.00	0.03	0.03	0.00	0.03	Matches
121	Awad Dahal	sa KSA	DF	Al-Ettifaq	20	2005	8	1	154	1.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
122	Sabri Dahal	sa KSA	MF,FW	Al-Fayha	17	2008	24	18	1,519	16.9	3	4	7	3	0	0	5	0	0.18	0.24	0.41	0.18	0.41	Matches
123	Abdurahman Al Dakheel	sa KSA	DF	Al-Hazem			23	22	1,857	20.6	1	0	1	1	0	0	12	0	0.05	0.00	0.05	0.05	0.05	Matches
124	Matteo Dams	be BEL	DF	Al-Ahli	21	2004	9	8	738	8.2	0	1	1	0	0	0	0	0	0.00	0.12	0.12	0.00	0.12	Matches
125	Abdulkarim Darisi	sa KSA	FW	Al-Hilal	22	2003	17	0	249	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
126	Faisal Darisi	sa KSA	DF	Al-Fateh	28	1997	4	4	229	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
127	David	br BRA	MF,FW	Damac	21	2004	13	7	674	7.5	0	0	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
128	Meshal Al Dawood	sa KSA	DF	Al-Hilal	17	2008	2	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
129	Khalifah Al Dawsari	sa KSA	DF	Neom	26	1999	26	24	2,153	23.9	1	0	1	1	0	0	9	2	0.04	0.00	0.04	0.04	0.04	Matches
130	Nasser Al-Dawsari	sa KSA	MF,DF	Al-Hilal	26	1998	27	17	1,622	18.0	0	1	1	0	0	0	2	1	0.00	0.06	0.06	0.00	0.06	Matches
131	Salem Al-Dawsari	sa KSA	FW,MF	Al-Hilal	33	1991	26	22	1,881	20.9	8	8	16	7	1	2	0	0	0.38	0.38	0.77	0.33	0.72	Matches
132	Wesley Delgado		MF,DF	Al-Fateh	21	2004	24	19	1,526	17.0	2	3	5	2	0	0	8	0	0.12	0.18	0.29	0.12	0.29	Matches
133	Moussa Dembélé	fr FRA	FW	Al-Ettifaq	29	1996	22	20	1,731	19.2	9	2	11	7	2	2	2	1	0.47	0.10	0.57	0.36	0.47	Matches
134	Merih Demiral	tr TUR	DF	Al-Ahli	27	1998	20	20	1,643	18.3	2	0	2	2	0	0	5	0	0.11	0.00	0.11	0.11	0.11	Matches
135	Abdulaziz Al Dhuwayhi	sa KSA	MF,FW	Al-Hazem	25	2000	20	9	785	8.7	4	1	5	4	0	0	3	0	0.46	0.11	0.57	0.46	0.57	Matches
136	Moussa Diaby	fr FRA	MF,FW	Al-Ittihad	26	1999	31	28	2,424	26.9	4	9	13	4	0	0	2	2	0.15	0.33	0.48	0.15	0.48	Matches
137	Abdurahman Al-Dossari	sa KSA	MF	Al Kholood Saudi Club	27	1997	33	16	1,755	19.5	1	0	1	1	0	0	0	1	0.05	0.00	0.05	0.05	0.05	Matches
138	Jamaan Al-Dossari	sa KSA	DF	Al Kholood Saudi Club	31	1993	3	0	73	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
139	Abdoulaye Doucouré	ml MLI	MF	Neom	32	1993	13	12	1,033	11.5	0	4	4	0	0	0	5	0	0.00	0.35	0.35	0.00	0.35	Matches
