	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	Omar Campos	mx MEX	MF,DF	Cruz Azul	23	2002	29	15	1,446	16.1	2	1	3	2	0	0	0	0	0.12	0.06	0.19	0.12	0.19	Matches
102	Sergio Canales	es ESP	MF,FW	Monterrey	34	1991	27	24	2,139	23.8	12	5	17	10	2	4	3	0	0.50	0.21	0.72	0.42	0.63	Matches
103	Alexis Canelo	ar ARG	FW	Puebla	33	1992	6	4	275	3.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
104	Manuel Capasso	ar ARG	DF	Atlas	29	1996	17	17	1,530	17.0	2	0	2	2	0	0	2	0	0.12	0.00	0.12	0.12	0.12	Matches
105	Michael Carcelen	ec ECU	MF	Querétaro	28	1997	15	5	531	5.9	0	1	1	0	0	0	4	0	0.00	0.17	0.17	0.00	0.17	Matches
106	Luis Cárdenas	mx MEX	GK	Monterrey	31	1993	17	17	1,530	17.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
107	Carlo	es ESP	MF	Querétaro	24	2001	24	14	1,262	14.0	0	1	1	0	0	0	2	0	0.00	0.07	0.07	0.00	0.07	Matches
108	Jan Carmona	mx MEX	MF	FC Juárez	21	2004	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
109	Luis Carmona	mx MEX	DF	FC Juárez	18	2007	1	0	35	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
110	Julián Carranza	ar ARG	FW	Necaxa	25	2000	6	4	305	3.4	3	0	3	2	1	1	3	1	0.89	0.00	0.89	0.59	0.59	Matches
111	Adalberto Carrasquilla	pa PAN	MF	UNAM	26	1998	32	27	2,420	26.9	2	5	7	2	0	0	10	0	0.07	0.19	0.26	0.07	0.26	Matches
112	Jordan Carrillo	mx MEX	MF	UNAM	23	2001	16	14	970	10.8	3	2	5	3	0	0	2	0	0.28	0.19	0.46	0.28	0.46	Matches
113	Jordan Carrillo	mx MEX	MF,FW	Santos Laguna	23	2001	13	2	359	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
114	Luis Carrillo	mx MEX	DF	Mazatlán	20	2005	1	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
115	Guilherme Carvalho	br BRA	MF	FC Juárez	25	1999	29	14	1,558	17.3	7	2	9	6	1	1	7	0	0.40	0.12	0.52	0.35	0.46	Matches
116	William Carvalho	pt POR	MF	Pachuca	33	1992	7	3	245	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
117	Kevin Castañeda	mx MEX	MF,FW	Tijuana	25	1999	34	33	2,697	30.0	12	6	18	7	5	6	5	0	0.40	0.20	0.60	0.23	0.43	Matches
118	Christian Castillo	mx MEX	FW	Tijuana	22	2003	2	0	66	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
119	José Castillo Pérez	mx MEX	DF	Guadalajara	23	2001	30	28	2,292	25.5	1	0	1	1	0	0	1	0	0.04	0.00	0.04	0.04	0.04	Matches
120	Raúl Castillo	mx MEX	FW	Puebla	24	2001	9	4	383	4.3	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
121	Ariel Castro	mx MEX	MF	Cruz Azul	20	2005	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
122	Christopher Castro	mx MEX	DF	Mazatlán	20	2005	2	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
123	Nicolás Castro	ar ARG	MF	Toluca	24	2000	30	22	1,831	20.3	5	7	12	5	0	0	2	0	0.25	0.34	0.59	0.25	0.59	Matches
124	Lucas Cavallini	ca CAN	FW	Puebla	32	1992	1	0	28	0.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
125	Juan Cázares	mx MEX	MF,FW	Querétaro	20	2005	9	6	382	4.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
126	Nelson Cedillo	mx MEX	MF	Santos Laguna	18	2007	2	2	138	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
127	Alan Cervantes	mx MEX	MF	América	27	1998	19	7	645	7.2	1	0	1	1	0	0	1	0	0.14	0.00	0.14	0.14	0.14	Matches
128	Ángel Chávez	mx MEX	DF	Guadalajara	20	2005	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
129	Ricardo Chávez Soto	mx MEX	DF,MF	Monterrey	30	1994	27	23	2,020	22.4	2	2	4	2	0	0	8	1	0.09	0.09	0.18	0.09	0.18	Matches
130	Ronaldo Cisneros	mx MEX	FW	Querétaro	28	1997	3	2	135	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
131	Matías Cóccaro	uy URU	FW	Atlas	27	1997	14	1	227	2.5	1	0	1	1	0	0	2	1	0.40	0.00	0.40	0.40	0.40	Matches
132	Bryan Colula	mx MEX	DF,MF	Mazatlán	29	1996	16	15	1,248	13.9	2	0	2	2	0	0	4	1	0.14	0.00	0.14	0.14	0.14	Matches
133	Bryan Colula	mx MEX	DF	León	29	1996	11	7	714	7.9	1	1	2	1	0	0	3	0	0.13	0.13	0.25	0.13	0.25	Matches
134	Ari Contreras	mx MEX	DF	Pachuca	19	2005	1	1	66	0.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
135	Jesús Corona	mx MEX	MF,FW	Monterrey	32	1993	28	20	1,491	16.6	4	2	6	4	0	0	3	0	0.24	0.12	0.36	0.24	0.36	Matches
136	Joe Corona	us USA	MF	Tijuana	35	1990	6	1	75	0.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
137	José Corona	mx MEX	GK	Tijuana	44	1981	1	1	11	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
138	Mateo Coronel	ar ARG	FW,MF	Querétaro	26	1998	24	18	1,629	18.1	5	0	5	5	0	1	3	1	0.28	0.00	0.28	0.28	0.28	Matches
139	Ángel Correa	ar ARG	MF,FW	UANL	30	1995	33	29	2,737	30.4	14	12	26	13	1	2	6	0	0.46	0.39	0.85	0.43	0.82	Matches
140	Jafet Cortés	mx MEX	DF	Puebla	20	2005	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
141	Rogelio Cortéz Pineda	mx MEX	MF,FW	Necaxa	21	2004	16	3	345	3.8	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
142	Jordi Cortizo	mx MEX	MF	Monterrey	29	1996	1	0	11	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
143	Jordi Cortizo	mx MEX	MF	León	29	1996	25	7	888	9.9	0	1	1	0	0	0	4	1	0.00	0.10	0.10	0.00	0.10	Matches
144	Rodolfo Cota	mx MEX	GK	América	38	1987	10	10	900	10.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
145	Cade Cowell	us USA	FW	Guadalajara	21	2003	13	4	492	5.5	1	0	1	1	0	0	1	0	0.18	0.00	0.18	0.18	0.18	Matches
146	Aldo Cruz	mx MEX	DF	Atlético San Luis	27	1997	18	8	844	9.4	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
147	Cristián Dajome	co COL	MF,FW	Santos Laguna	31	1994	33	14	1,424	15.8	5	1	6	5	0	0	6	0	0.32	0.06	0.38	0.32	0.38	Matches
148	Jesús David Murillo	co COL	DF	FC Juárez	31	1994	24	21	1,908	21.2	1	1	2	1	0	0	7	1	0.05	0.05	0.09	0.05	0.09	Matches
149	José David Ramírez	mx MEX	DF,MF	León	29	1995	19	9	746	8.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
150	Víctor Dávila	cl CHI	FW,MF	América	27	1997	20	9	661	7.3	3	0	3	3	0	1	2	0	0.41	0.00	0.41	0.41	0.41	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
151	Diego De Buen	mx MEX	MF,DF	Necaxa	34	1991	13	11	989	11.0	1	1	2	1	0	0	3	0	0.09	0.09	0.18	0.09	0.18	Matches
152	Gustavo Del Prete	ar ARG	MF,FW	Atlas	29	1996	11	5	411	4.6	2	1	3	2	0	0	1	0	0.44	0.22	0.66	0.44	0.66	Matches
153	Everardo Del Villar	mx MEX	DF	Toluca	20	2005	23	17	1,620	18.0	1	0	1	1	0	0	3	0	0.06	0.00	0.06	0.06	0.06	Matches
