Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
84,Dylan Borso,us USA,MF,Chicago Fire,,2006.0,4,0,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
85,Antone Bossenberry,ca CAN,MF,Toronto FC,,2008.0,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
86,Denis Bouanga,ga GAB,"FW,MF",LAFC,,1994.0,14,14,1196,13.3,6,2,8,6,0,0,5,0,0.45,0.15,0.6,0.45,0.60,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
87,Ousseni Bouda,bf BFA,MF,SJ Earthquakes,,2000.0,15,13,1181,13.1,5,1,6,5,0,0,1,0,0.38,0.08,0.46,0.38,0.46,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
88,Amin Boudri,se SWE,MF,LAFC,,2004.0,4,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
89,Agustín Bouzat,ar ARG,MF,Houston Dynamo,,1994.0,12,6,609,6.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
90,Michael Boxall,nz NZL,DF,Minnesota Utd,,1988.0,7,5,397,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
91,Tyler Boyd,us USA,"MF,FW",LAFC,,1994.0,13,4,448,5.0,1,1,2,1,0,0,2,0,0.2,0.2,0.4,0.2,0.40,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
92,Chris Brady,us USA,GK,Chicago Fire,,2004.0,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
93,David Brekalo,si SVN,DF,Orlando City,,1998.0,11,9,798,8.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
94,Luke Brennan,us USA,MF,Atlanta Utd,,2005.0,7,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
95,Yannick Bright,it ITA,MF,Inter Miami,,2001.0,12,11,957,10.6,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
96,Brandt Bronico,us USA,MF,Charlotte,,1995.0,12,5,493,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
97,Snyder Brunell,us USA,MF,Seattle Sounders,,2007.0,13,8,776,8.6,0,1,1,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
98,Charles-Emile Brunet,ca CAN,MF,Nashville SC,,2003.0,3,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
99,Pavel Bucha,cz CZE,MF,FC Cincinnati,,1998.0,14,14,1209,13.4,2,4,6,2,0,0,1,0,0.15,0.3,0.45,0.15,0.45,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
100,Noel Buck,eng ENG,MF,SJ Earthquakes,,2005.0,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
101,Dawid Bugaj,pl POL,DF,CF Montréal,,2004.0,10,8,706,7.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
102,Roman Bürki,ch SUI,GK,St. Louis City,,1990.0,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
103,Micah Burton,us USA,FW,Austin FC,,2006.0,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
104,Brandon Bye,us USA,DF,Portland Timbers,,1995.0,14,13,1184,13.2,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
105,Nathan Byrne,eng ENG,DF,Charlotte,,1992.0,14,14,1244,13.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
106,Rafael Cabral,br BRA,GK,Real Salt Lake,,1990.0,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
107,Kenji Cabrera,pe PER,MF,Vancouver W'caps,,2003.0,9,2,314,3.5,0,2,2,0,0,0,2,0,0.0,0.57,0.57,0.0,0.57,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
