Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
83,Nasser Al Bishi,sa KSA,MF,Al-Riyadh SC,23.0,2002.0,2.2,0,1,0,0.0,0.46,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
84,Nasser Al Bishi,,DF,Al-Shabab,,,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
85,Ameen Bokhari,sa KSA,GK,Al-Fateh,28.0,1997.0,3.8,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
86,Christopher Bonsu-Baah,gh GHA,MF,Al-Qadsiah,20.0,2004.0,29.6,3,30,11,36.7,1.01,0.37,0.1,0.27,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
87,Milan Borjan,ca CAN,GK,Al-Riyadh SC,37.0,1987.0,34.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
88,Mateo Borrell,,MF,Al Okhdood SC,,,12.1,0,4,3,75.0,0.33,0.25,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
89,Saïmon Bouabré,fr FRA,"MF,FW",Neom,19.0,2006.0,12.8,1,14,5,35.7,1.09,0.39,0.07,0.2,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
90,Saïmon Bouabré,fr FRA,FW,Al-Hilal,19.0,2006.0,1.7,0,2,1,50.0,1.21,0.6,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
91,Yassine Bounou,ma MAR,GK,Al-Hilal,34.0,1991.0,26.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
92,Nawaf Boushal,sa KSA,DF,Al-Nassr,25.0,1999.0,20.8,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
93,Bilal Boutobba,fr FRA,"MF,FW",Al-Najma,26.0,1998.0,22.8,3,48,18,37.5,2.1,0.79,0.04,0.11,1,1,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
94,Abdelmounaim Boutouil,ma MAR,DF,Al-Hazem,27.0,1998.0,9.6,0,3,0,0.0,0.31,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
95,Victor Braga,br BRA,GK,Al-Najma,33.0,1992.0,30.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
96,Mohammed Al-Breik,sa KSA,DF,Neom,32.0,1992.0,11.5,1,5,3,60.0,0.44,0.26,0.2,0.33,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
97,Josh Brownhill,eng ENG,"MF,FW",Al-Shabab,29.0,1995.0,27.2,4,35,13,37.1,1.29,0.48,0.09,0.23,1,1,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
98,Marcelo Brozović,hr CRO,MF,Al-Nassr,32.0,1992.0,26.9,0,14,5,35.7,0.52,0.19,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
99,Mohammed Bu Muaykil,,FW,Al-Fateh,,,0.0,0,1,0,0.0,22.5,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
100,Mubarak Al Buainain,sa KSA,GK,Al-Nassr,19.0,2006.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
101,John Buckley,eng ENG,MF,Al Kholood Saudi Club,25.0,1999.0,29.9,2,31,7,22.6,1.04,0.23,0.06,0.29,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
102,Ali Al-Bulaihi,sa KSA,DF,Al-Shabab,35.0,1989.0,13.9,2,8,4,50.0,0.58,0.29,0.25,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
103,Ali Al-Bulaihi,sa KSA,DF,Al-Hilal,35.0,1989.0,1.0,0,1,0,0.0,1.01,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
104,Firas Al-Buraikan,sa KSA,"FW,MF",Al-Ahli,25.0,2000.0,19.4,5,18,8,44.4,0.93,0.41,0.28,0.63,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
105,Heorhiy Bushchan,ua UKR,GK,Al-Shabab,31.0,1994.0,1.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
106,Marcin Bułka,pl POL,GK,Neom,25.0,1999.0,6.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
107,Francisco Calvo,cr CRC,"DF,MF",Al-Ettifaq,33.0,1992.0,29.6,4,43,21,48.8,1.45,0.71,0.09,0.19,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
108,Haroune Camara,sa KSA,FW,Al-Nassr,27.0,1998.0,0.0,0,1,0,0.0,90.0,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
109,Haroune Camara,sa KSA,FW,Al-Shabab,27.0,1998.0,3.5,1,7,5,71.4,2.0,1.43,0.14,0.2,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
110,Mansour Camara,gn GUI,DF,Al Kholood Saudi Club,17.0,2007.0,6.3,0,4,1,25.0,0.63,0.16,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
111,João Cancelo,pt POR,DF,Al-Hilal,31.0,1994.0,1.9,0,4,1,25.0,2.08,0.52,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
112,Felippe Cardoso,br BRA,FW,Al-Najma,26.0,1998.0,13.6,4,28,11,39.3,2.05,0.81,0.14,0.36,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
113,Carlos,br BRA,"FW,MF",Al-Shabab,29.0,1995.0,12.1,4,24,9,37.5,1.98,0.74,0.17,0.44,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
114,Yannick Carrasco,be BEL,"MF,FW",Al-Shabab,31.0,1993.0,27.8,18,103,51,49.5,3.7,1.83,0.1,0.2,8,9,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
115,Gabriel Carvalho,br BRA,FW,Al-Qadsiah,17.0,2007.0,3.0,1,6,1,16.7,1.99,0.33,0.17,1.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
116,Koen Casteels,be BEL,GK,Al-Qadsiah,33.0,1992.0,31.7,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
117,Kaio César,br BRA,FW,Al-Hilal,21.0,2004.0,2.6,0,8,3,37.5,3.13,1.17,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
